word,definition,ner,root_word,pos
TEN,equivalent to product of five and two,,ten,NNS
EUROPE,"continent of northern hemisphere, separated from Africa to south by Mediterranean Sea and from Asia ",I-LOC,europe,NN
NO MATTER,it is of no importance,,no matter,NN
BELCH,emit wind noisily through mouth,I-PER,belch,NN
BEHOLD,see or observe,,behold,NN
AUGUST,"eighth month of year, in northern hemisphere",,august,NN
ANALYTICS,systematic computational analysis of data or statistics,,analytics,NNS
VIDEO,"the recording, reproducing, or broadcasting of moving visual images",,video,NN
FLORIDA,state forming peninsula of south-eastern US,I-LOC,florida,NN
SLOW,moving or operating at low speed,,slow,VB
SOFTWARE,programs and other operating information used by computer,,software,NN
STOP,cessation of movement or operation,,stop,NN
AT THE DROP OF A HAT,without hesitation or good reason,,at the drop of a hat,RB
DESIGN,decide on look and functioning of,,design,NN
NOTICE,"notification or warning of something, especially to allow preparations to be made",,notice,NN
EXPOSURE,state of being exposed to something harmful,,exposure,NN
PERSONAL,concerning one's private life,,personal,JJ
AND,"used to connect words of same part of speech, clauses, or sentences",,and,CC
QUIZZES,test of knowledge,,quiz,NNS
TIE,"piece of string, cord, or similar used for fastening or tying something",,tie,NN
THESE,used as object of verb or preposition to refer to two or more things,,these,DT
TECHNOLOGIST,expert in technology,,technologist,NN
ASSEMBLY WORKER,"a person who works in a factory on an assembly line, performing a particular job which must be finished before the product moves to the next person",,assembly worker,NN
LIKELY,probable,,likely,JJ
AFFORD,have enough money,,afford,NN
CLIENT,user of professional service,,client,NN
LAZY,unwilling to use energy,I-PER,lazy,NN
VEGAN,using or containing no animal products,,vegan,NN
BOULEVARD,wide street in town or city,,boulevard,NN
WHAT,asking for information specifying something,,what,WP
CHECK MARK,tick,,check mark,NN
REQUIRMENTS,things that is needed or wanted,,requirments,NNS
HELP ME,assist myself to do something,,help me,NN
PRESSURE,continuous physical force exerted on object,,pressure,NN
VOLCANO,"mountain or hill from which lava, rock fragments, hot vapour, and gas are erupted",,volcano,NN
CUSTOMER,person who buys goods or services from shop or business,,customer,NN
BEARD,hair on man's face,,beard,NN
HISTORY,past events connected with particular person or thing,,history,NN
CODE,computer program instructions,,code,NN
NAME,word by which person or thing is known,,name,NN
KNOW,be familiar or friendly with,,know,VB
MATCH,be equal to (something) in quality or strength,,match,NN
LEARN,gain knowledge of or skill in something,,learn,NN
AWAY,to or at a distance,,away,RB
GRASS,vegetation consisting of short plants with long narrow leaves,,grass,NN
ANIMAL,living organism,,animal,NN
ON-PREMISES,inside a building or on the area of land that it is on,,on-premises,NNS
MOUSE,device for moving cursor,,mouse,NN
DRIVE,operate motor vehicle,,drive,NN
THROUGH,moving in one side and out of other side of,,through,IN
SKATEBOARD,"short narrow board with two small wheels fixed to bottom of either end, on which person can ride in ",,skateboard,NN
MISTAKE,wrong or misguided act or judgement,,mistake,NN
ASSUME,suppose to be the case,,assume,VB
AUTISM,condition characterized by difficulty in communicating,,autism,NN
SPEND,give money to pay for something,,spend,NN
SEVEN DAYS,In poetic and literary use: a week; often as the type of a long (and arduous) period of time.,,seven days,NNS
TENDENCY,inclination towards particular characteristic or type of behaviour,,tendency,NN
SHARK,long-bodied marine fish with prominent dorsal fin,I-PER,shark,NN
ELASTIC,flexible and adaptable,,elastic,JJ
AMPLE,enough or more than enough,,ample,NN
PLAN,intention or decision,,plan,NN
ARENA,"level area surrounded by seating, in which sports, entertainments, and other public events are held",,arena,NN
FAVOURITE,preferred to all others of same kind,,favourite,NN
CUBA,"Caribbean country, largest and furthest west of islands of West Indies",I-LOC,cuba,NN
WEBCAM,video camera connected to computer,,webcam,NN
SERVE,perform duties or services for,,serve,NN
DECORATE,make something look more attractive by adding extra items or images,,decorate,NN
BLAINE SUNDRUD,Blaine Sundrud from AWS,,blaine sundrud,NN
FREDRICK,Frederick County Public School,I-ORG,fredrick,NN
BAD,of poor quality or low standard,,bad,JJ
CLOTHES,items worn to cover body,,clothes,NNS
CRAYONS,pencil or stick of coloured chalk or wax,,crayon,NNS
TOP RIGHT,"right sides highest or uppermost point, part",,top right,NN
PONYTAIL,hairstyle in which hair is drawn back and tied at back of head so as to hang down,,ponytail,NN
BE MIND STUPID,lacking intelligence or common sense,,be mind stupid,NN
QUOTE,repeat or copy out,,quote,NN
FEW,small number of,,few,JJ
ARTWORK,"illustrations, photographs, or other non-textual material prepared for inclusion in publication",,artwork,NN
PRINCIPLE,fundamental truth or proposition,,principle,NN
HANDS IDLE,idling hands,,hands idle,NN
PUMPKIN,large orange-yellow fruit,,pumpkin,NN
WE,used by speaker to refer to himself or herself and one or more other people considered together,,we,PRP
COURSE,series of lectures,,course,NN
COMFORTABLE,providing physical ease,,comfortable,JJ
PROUD,having high opinion of oneself,,proud,NN
CAR,motor vehicle,,car,NN
UNNEEDED,not needed,,unneeded,JJ
SNAPCHAT,"a social media service that allows you to send or share photos, short videos and messages.",I-MISC,snapchat,NN
TRAFFIC,vehicles moving on public highway,,traffic,NN
OHIO,"a state in the north-eastern US, bordering on Lake Erie; population 11,485,910 (est. 2008); capital, Columbus. Acquired by Britain from France in 1763 and by the US in 1783, it became the 17th state of the US in 1803",I-LOC,ohio,NN
MARRY,join in marriage,,marry,NN
BAT,mainly nocturnal mammal with membranous wings that extend between fingers and limbs,,bat,NN
SURVEY,investigate opinions or experience of group of people by asking them questions,,survey,NN
SUN,light or warmth received from sun,,sun,NN
TURN,move something so that it is in different position,,turn,NN
ARTIFICIAL,not natural,,artificial,JJ
BRACELET,"ornamental band, hoop, or chain worn on wrist or arm",,bracelet,NN
BACTERIA,member of large group of unicellular microorganisms,,bacteria,NNS
SPREAD,extend over large or increasing area,,spread,NN
COUNT,determine total number of,,count,NN
HISPANIC,"relating to Spain or to Spanish-speaking countries, especially those of Latin America",I-MISC,hispanic,JJ
BIRD WATCHING,observation of birds in their natural habitats as hobby,,bird watching,NN
GERMANY,country in central Europe,I-LOC,germany,NN
WEEK,period of seven days,,week,NN
SINGLE,only one,,single,JJ
ALOOF,not friendly or forthcoming,,aloof,NN
DON'T WANT,"not ready, eager, or prepared to do something",,don't want,NN
JEALOUS,envious,,jealous,JJ
BRIEF,of short duration,,brief,NN
SEND,cause to go or be taken to particular destination,,send,NN
SELECT,carefully choose as being best or most suitable,,select,NN
REPRESENT,be entitled to act for someone,,represent,NN
ARTIST,person who produces paintings or drawings,,artist,NN
WHERE,in or to what place or position,,where,WRB
AUTHORITARIANISM,attitude favouring strict obedience to authority,,authoritarianism,NN
BREAKABLE,capable of breaking or being broken easily,,breakable,JJ
ACTIVITIES,condition in which things happen,,activity,NNS
VARIABLE,able to be changed or adapted,,variable,JJ
SOCIAL MEDIA,websites and applications that enable users to create and share content,,social media,NN
DEVELOPMENT,process of developing or being developed,,development,NN
APPLICATION,the action of putting something into operation,,application,NN
PROGRESS,forward or onward movement towards a destination,,progress,NN
POSSUM,tree-dwelling Australasian marsupial,I-PER,possum,NN
EXCITED,very enthusiastic and eager,,excited,VBN
OUTDOOR,"done, situated, or used out of doors",,outdoor,NN
LESSON,period of learning or teaching,,lesson,NN
BOWLING ALLEY,"long, narrow track along which balls are rolled in games of skittles",,bowling alley,NN
AT SIGN,symbol @,,at sign,NN
SERVER,person or thing that serves,,server,NN
THING,"object that one need not, cannot, or does not wish to give specific name",,thing,NN
DANGEROUS,able or likely to cause harm or injury,,dangerous,JJ
ONE ONE ONE,multiple one in row,,one one one,NN
ROAD,wide way leading from one place to another,,road,NN
JANITOR,caretaker or doorkeeper of building,,janitor,NN
BRAND,product manufactured under particular name,,brand,NN
MINUS,with subtraction of,,minus,NN
ATTRACTIVE,pleasing to senses,,attractive,JJ
LINUX,open-source operating system modelled on UNIX,I-MISC,linux,NN
HAPPY,feeling contentment,,happy,JJ
CLIENT SERVER,user of professional service,,client server,NN
SKUNK,cat-sized American mammal of weasel family,I-MISC,skunk,NN
BEST,most excellent or desirable,,best,JJS
AUSTRALIA,"island country and continent of southern hemisphere, in SW Pacific",I-LOC,australia,NNS
DESTROY,end existence of,,destroy,NN
RISE,(of river) have its source,,rise,NN
THAT,referring to specific thing previously mentioned or understood,,that,IN
TRANSPARENT,allowing light to pass through so that objects behind can be distinctly seen,,transparent,NN
HEAVY,of great weight,,heavy,JJ
TWO THOUSAND,The cardinal number occurring after one thousand nine hundred and ninety-nine and before two thousand and one.,,two thousand,NN
AND,"used to connect words of same part of speech, clauses, or sentences",,and,CC
WRITE,mark symbols on surface with pen,,write,NN
EMPHASIS,"special importance, value, or prominence given to something",,emphasis,NN
WEIRD,induce sense of disbelief or alienation in someone,,weird,NN
ACCUSATION,charge or claim that someone has done something illegal or wrong,,accusation,NN
NAVIGATE,sail or travel over,,navigate,NN
CHECKS,"examine for accuracy, quality, etc.",,check,NNS
CAPACITY,maximum contents,,capacity,NN
SIX,equivalent to product of two and three,,six,CD
SCARE,sudden attack of fright,,scare,NN
PORK,flesh of pig as food,,pork,NN
STRICT,exact in correspondence or adherence to something,,strict,NN
BAT,implement for hitting ball,,bat,NN
ATTRIBUTES,characteristic quality or feature,,attribute,NNS
BIGGEST,of great size or extent,,biggest,JJS
SAD,feeling or showing sorrow,,sad,NN
ASK US,speak to get answer or information,,ask us,NN
DOOR,barrier at entrance to building or room,,door,NN
COMPETITION,activity of striving to gain something by defeating others,,competition,NN
CALENDAR,"a chart or series of pages showing the days, weeks, and months of a particular year, or giving particular seasonal information",,calendar,NN
ALL DAY,lasting or available throughout the day.,,all day,NN
PAUSE,interrupt action or speech briefly,,pause,NN
FIT,match,,fit,NN
ANIMATION,making of animated film,,animation,NN
BRAIN FART,temporary mental lapse or failure to reason correctly,,brain fart,NN
THE,denoting one or more people or things already mentioned or assumed to be common knowledge,,the,DT
INSTITUTE,organization with particular purpose,,institute,NN
SWITZERLAND,"mountainous, landlocked country in central Europe",I-LOC,switzerland,NN
MULTIPLY,add number to itself specified number of times,,multiply,NN
NAVIGATION,process or activity of accurately ascertaining one's position and planning and following route,,navigation,NN
CUSTOMERS,people who buys goods or services from shop or business,,customer,NNS
LIFE,state of living,,life,NN
HUG OBJECT,squeeze an object tightly ,,hug object,NN
BANANA,long curved fruit withd yellow skin,,banana,NN
BARE,not clothed,,bare,NN
BANANA,long curved fruit withd yellow skin,,banana,NN
MAKE,force someone to do something,,make,VB
THEY,used to refer to two or more people or things previously mentioned or easily identified,,they,PRP
BROWSER,computer program with graphical user interface,,browser,NN
LARGE,"of considerable size, extent, etc.",,large,JJ
DOCTOR,person qualified to treat sick people,,doctor,NN
NO,negative answer or decision,,no,DT
FREEZE,turn or be turned into ice,,freeze,NN
LIST 4,number four of items written or printed consecutively,,list 4,NN
POWERFUL,having great power or strength,,powerful,JJ
TURBULENCE,violent or unsteady movement of air or water,,turbulence,NN
SIDE,position to left or right of object,,side,NN
O,fifteenth letter of alphabet,,o,NN
BARBIE,doll representing conventionally attractive young woman,I-PER,barbie,NN
BEANS,edible seeds growing in pod,,bean,NNS
BULLETPROOF-VEST,vest designed to resist the penetration of bullets,,bulletproof-vest,NN
JEANS,hard-wearing casual trousers made of denim,,jean,NNS
BASEBALL CARD,"A collectable picture card depicting a baseball player, often including performance statistics and biographical information.",,baseball card,NN
COVID,illness caused by Covid-19,I-MISC,covid,NN
FISH,animal with gills and fins living in water,,fish,NN
LIGHT,of little weight,,light,NN
HELP,assist someone to do something,,help,NN
DISSOLVE,become or cause to become incorporated into liquid so as to form solution,,dissolve,NN
BLADE,cutting edge of knife etc.,,blade,NN
INFORMATION,facts provided or learned,,information,NN
FULL,having no empty space,,full,JJ
TURN DOOR HANDLE,open the door inside,,turn door handle,NN
NONE,not any,,none,NN
RICH,having great deal of money or assets,,rich,JJ
HAVE,"possess, own, or hold",,have,VB
WARM,make or become warm,,warm,NN
NIGHT,period from sunset to sunrise,,night,NN
POSITIVE,positive quality,,positive,JJ
NEIGHBOURHOOD,area of country or city,,neighbourhood,NN
SUNGLASSES,glasses tinted to protect eyes from sunlight or glare,,sunglass,NNS
FEATURES,distinctive attribute or aspect,,feature,NNS
BARGE IN,intrude,,barge in,NN
STEPSISTER,daughter of one's step-parent by marriage other than with one's own father or mother,,stepsister,NN
DOOR,barrier at entrance to building or room,,door,NN
FRONT DOOR,"the main entrance to a house, usually at the front",,front door,NN
CONNECTICUT,"state in north-eastern US, on coast of Atlantic Ocean",I-LOC,connecticut,NN
TREE FALL,"The act of a tree falling, or the extent to which this occurs in a given region",,tree fall,NN
APPLICATION,"a formal request to be considered for a position or to be allowed to do or have something, submitted to an authority, institution, or organization",,application,NN
PATH,way or track for walking,,path,NN
ANTAGONIST,person who actively opposes or is hostile to person or thing,,antagonist,NN
BEREFT,deprived of or lacking,,bereft,NN
BOOM,"loud, deep sound",,boom,NN
ADVERSITY,difficult or unpleasant situation,,adversity,NN
AROUND,to face in opposite direction,,around,IN
WILL,expressing future tense,,will,MD
BARBER,person who cuts men's hair and shaves or trims beards as occupation,,barber,NN
TOGETHER,with or in proximity to another person or people,,together,RB
AIRPODS,"AirPods are wireless Bluetooth earbuds designed by Apple Inc. They were first announced on September 7, 2016, alongside the iPhone 7.",,airpods,NNS
FINAL,coming at end of series,,final,JJ
SURVEY,look closely at or examine,,survey,NN
DAD,one's father,,dad,NN
HI,used as a friendly greeting or to attract attention,,hi,NN
FRIDGE,refrigerator,,fridge,NN
PAPER,material for writing or wrapping,,paper,NN
HELP,assist someone to do something,,help,NN
HOLLOW,having hole or empty space inside,,hollow,NN
COST,amount paid,,cost,NN
MATH,mathematics,,math,NN
BITE YOUR TONGUE,not making or accompanied by any sound,,bite your tongue,NN
NAVIGATION,process or activity of accurately ascertaining one's position and planning and following route,,navigation,NN
LOVE,feel love for,,love,NN
MEMBER,"person, animal, etc. belonging to group",,member,NN
THREATEN,state one's intention to take hostile action against someone in retribution for something,,threaten,NNS
VACUUM,vacuum cleaner,,vacuum,NN
SUCCESS,accomplishment of aim or purpose,,success,NN
ORANGE,bright reddish-yellow colour,I-MISC,orange,NN
GUESS,estimate without being sure of being correct,,guess,NN
SUPPLIES,stock or amount of something supplied or available for use,,supply,NNS
FACE,front part of head,,face,NN
ARRAY,impressive display or range,,array,NN
BASKET,container made from interwoven strips,,basket,NN
UNDER,extending or directly below,,under,IN
SUPPORT,give assistance to,,support,NN
BERRY,small stoneless round fruit,,berry,NN
COUGH IN ELBOW,expel air from lungs,,cough in elbow,NN
APPETITE,natural desire to satisfy bodily need,,appetite,NN
BURY,put or hide underground,,bury,NN
LOCATION,place or position,,location,NN
OWNER,person who owns something,,owner,NN
SECOND,constituting number two in sequence,,second,JJ
A MOMENT AGO,at recent time,,a moment ago,NN
BUSINESSES,commercial activity,,business,NNS
FURNITURE,articles in room or building such as tables and chairs,,furniture,NN
APPEARANCE,way person or thing looks,,appearance,NN
SCORE,"number of points, goals, runs, etc. achieved in game or by team",,score,NN
TOOLS,device or implement used to carry out particular function,,tool,NNS
WEB,a complex system of interconnected elements,,web,NN
NONE,not any,,none,NN
AT ONCE,immediately,,at once,NN
FAKE,forgery or sham,,fake,NN
SITUATION,set of circumstances in which one finds oneself,,situation,NN
DINNER,main meal of day,,dinner,NN
VIDEO,"the recording, reproducing, or broadcasting of moving visual images",,video,NN
HOUSTON,"inland port of Texas, linked to Gulf of Mexico by Houston Ship Canal",I-LOC,houston,NN
TRUE,accurate or exact,,true,JJ
MAKE,form something,,make,VB
WHAT,to what extent ?,,what,WP
VIDEOS,"system of recording, reproducing, or broadcasting moving visual images",,video,NNS
AWS,"Amazon Web Services (AWS) is the world's most comprehensive and broadly adopted cloud, offering over 200 fully featured services from data centers globally",I-MISC,aws,NNS
DOWNSTAIRS,down flight of stairs,,downstairs,NNS
EXCITING,causing great enthusiasm and eagerness,,exciting,VBG
CLOUD,mass of condensed watery vapour,,cloud,NN
VLOG,personal website where person regularly posts short videos,,vlog,NN
MOTIVATED,provide someone with reason for doing something,,motivated,VBN
ASKED,speak to get answer or information,,asked,VBN
MOTHER'S DAY,a day on which mothers traditionally receive cards and gifts from their children,,mother's day,NN
INFORM,give someone facts or information,,inform,NN
DRINK,swallow liquid,,drink,NN
Z,twenty-sixth letter of alphabet,,z,NN
BUBBLE,a thin sphere of liquid enclosing air or another gas,,bubble,JJ
TEETH,"each of set of hard, bony enamel-coated structures in jaws of most vertebrates",,teeth,NNS
TRUE,in accordance with fact or reality,,true,JJ
AUNT,sister of one's father or mother or wife of one's uncle,,aunt,NN
WEEKEND,Saturday and Sunday,,weekend,NN
YEARS,time taken by earth to make one revolution around sun,,year,NNS
CHEF,professional cook,,chef,NN
PLUMBER,"person who fits and repairs pipes, fittings, and other apparatus of water supply",,plumber,NN
IDEA,suggestion of possible course of action,,idea,NN
BLUE,blue colour,,blue,NN
OFFICER,person holding position of authority in armed services etc.,,officer,NN
GO,move from one place to another,,go,VB
CODE,"system of words, figures, etc. used to represent others",,code,NN
JUST,morally right and fair,,just,RB
THOSE,plural form of that,,those,DT
SOUTH CAROLINA,state of US on Atlantic coast,I-LOC,south carolina,NN
VIRGINIA,"state of eastern US, on Atlantic coast",I-LOC,virginia,NN
TRUE,in accordance with fact or reality,,true,JJ
YOURSELF,used to refer to person being addressed,,yourself,PRP
ART MUSEUM,A museum devoted to the exhibition of works of art.,,art museum,NN
SEARCH,try to find something by looking or otherwise seeking carefully,,search,NN
LEFT,left-hand part or direction,,left,NN
STOMACH,internal organ in which major part of digestion of food occurs,,stomach,NN
FEEL,be aware of through touching,,feel,NN
CHOW,food,,chow,NN
APPEAR,become visible or noticeable,,appear,VB
SECOND,constituting number two in sequence,,second,JJ
EXAMINE,inspect person or thing thoroughly,,examine,NN
ASKING PRICE,price at which something is offered for sale,,asking price,NN
COURSE,series of lectures,,course,NN
BROAD,wide,,broad,JJ
PAPER,paper with writing on,,paper,NN
NEW YEARS DAY,"New Year is the time or day at which a new calendar year begins, period of twenty-four hours",,new years day,NN
MAKE SURE,establish that something is definitely,,make sure,NN
CONVEYOR BELT,"continuous moving band of fabric, rubber",,conveyor belt,NN
INSTEAD,as alternative or substitute,,instead,RB
SUBSCRIBE,arrange to receive something regularly by paying in advance,,subscribe,NN
MUSEUM,"building in which objects of historical, scientific, artistic, or cultural interest are stored and e",,museum,NN
BEFORE,during period of time preceding particular event,,before,IN
QUESTIONS,sentences worded or expressed so as to elicit information,,question,NNS
INTRODUCE,make someone known by name to another person,,introduce,NN
BROTHERS AND SISTERS,each of two or more children or offspring having one or both parents in common; a brother or sister,,brothers and sisters,NNS
MENTAL,relating to mind,,mental,NN
CHECK MARK,tick,,check mark,NN
ACHIEVE,successfully bring about or reach desired objective or result,,achieve,NN
LOCKDOWN,state of isolation or restricted access instituted as security measure,,lockdown,NN
BEG,ask someone for something,,beg,NN
SENIOR,high or higher in rank or status,,senior,JJ
ARCHITECTURE,art of designing buildings,,architecture,NN
BIRD WATCHING,observation of birds in their natural habitats as hobby,,bird watching,NN
BOTH OF US," we two, two of; both of us. This particularly refers to ""you and I"" or ""you and me"". ",,both of us,NN
NOW,at present time,,now,RB
US,used by speaker to refer to himself or herself,,u,PRP
COVER MOUTH,put something over or in front of mouth,,cover mouth,NN
PROHIBITED,that has been forbidden; banned,,prohibited,VBN
MESSY,untidy or dirty,,messy,NN
HOURS,twenty-fourth part of day,,hour,NNS
START,begin or be reckoned from particular point in time or space,,start,NN
BRAID,form hair into braid,,braid,NN
BOLT,"(of a horse or other animal) run away suddenly, typically from fear",,bolt,NN
DURING,throughout course or duration of,,during,IN
BEAT,strike person repeatedly,,beat,NN
INDIANA,state in Middle West of US,I-LOC,indiana,NN
ADDITION,adding something to something,,addition,NN
AUTUMN,season after summer and before winter,,autumn,NN
BANGS,a fringe of hair cut straight across the forehead.,,bang,NNS
STOP,"cause action, process, or event to come to end",,stop,NN
CORNER,place or angle where two sides or edges meet,,corner,NN
LONG LIST,number of items written or printed consecutively,,long list,NN
BUZZ,low continuous humming,,buzz,NN
OPPOSITE,completely different,,opposite,NN
ALL DAY NIGHT,All day and night,,all day night,NN
ANNOUNCE,make formal public statement about fact or intention,,announce,NN
ADJUST,alter/move,,adjust,NN
T,twentieth letter of alphabet,,t,NN
NEW ZEALAND,"island country in South Pacific about 1,900 km 1,200 miles east of Australia",I-LOC,new zealand,NN
ASPHYXIATE,kill someone by depriving them of air,,asphyxiate,NN
SCREEN,panel or area on electronic device on which images and data are displayed,,screen,NN
TAKE OUT,to remove something from somewhere:,,take out,NN
DIVORCE,legal dissolution of marriage,,divorce,NN
EARTH DAY,Earth Day is an annual celebration that honors the achievements of the environmental movement and raises awareness of the need to protect Earths natural resources for future generations.,,earth day,NN
PLUS SIGN,"the symbol +, indicating addition or a positive value",,plus sign,NN
DEPLOYMENT,action of bringing resources into effective action,,deployment,NN
CONTINUE,persist in activity,,continue,NN
WEDDING,marriage ceremony,,wedding,NN
BLACKED OUT,"to undergo a temporary loss of vision, consciousness, or memory",,blacked out,NN
LOAN YOU,lend another person something,,loan you,NN
PRICING,decide price of,,pricing,NN
ASSASSINATE,murder important person for political or religious reasons,,assassinate,NN
LOVE,feel love for,,love,NN
ALASKA,"largest state of US, in extreme north-west of North America",I-LOC,alaska,NN
HAPPY,feeling contentment,,happy,JJ
TIE,strip of material worn round collar and tied in knot at front with ends hanging down,,tie,NN
THEY,used to refer to two or more people or things previously mentioned or easily identified,,they,PRP
OFF,away from place in question,,off,IN
TEEN,years of person's age from 13 to 19,,teen,NN
SUPPORTING,bearing weight of something,,supporting,VBG
FLOWER,part of plant consisting of reproductive organs,,flower,NN
TRY,make attempt or effort to do something,,try,NN
SPECIALIZED,requiring or involving detailed and specific knowledge or training,,specialized,JJ
OR,linking alternatives,,or,CC
BOIL WITH ANGER,boil with something. collocation. to have a very strong feeling of anger: He was boiling with rage. I began to boil with helpless fury.,,boil with anger,NN
SKINNY,unattractively thin,,skinny,NN
DISCONNECT,break connection of or between,,disconnect,NN
NATURE,all physical world,,nature,NN
BUCKET,"a roughly cylindrical open container, typically made of metal or plastic, with a handle, used to hold and carry liquids or other material",,bucket,NN
EXAMPLE,thing characteristic of its kind,,example,NN
YOU ALL,used to refer to person or people that speaker is addressing,,you all,NN
EAT NIGHT,put food into the mouth at night,,eat night,NN
NEIGHBOR,a person who lives next to you or near you,,neighbor,NN
MODULE,standardized part used in construction of structure,,module,NN
EYE,organ of sight in humans and animals,,eye,NN
COMMUNICATION,imparting or exchanging of information,,communication,NN
SUPPOSE,think or assume that something is true or probable but lack proof,,suppose,NN
WEB,global computer network providing information and communication facilities,I-ORG,web,NN
CLICK,press mouse button,,click,NN
MEMES,create internet meme from,,meme,NNS
MORE THAN,extremely,,more than,NN
ARITHMETIC,branch of mathematics,,arithmetic,JJ
BROADWAY,"a street traversing the length of Manhattan, New York. It is famous for its theatres, and its name has become synonymous with show business",I-LOC,broadway,NN
BICYCLE,"vehicle consisting of two wheels held in frame one behind other, propelled by pedals",,bicycle,NN
HURRICANE,storm with violent wind,,hurricane,NN
BEACH,seashore,,beach,NN
ISLAND,piece of land surrounded by water,,island,NN
AWAKEN,rouse from sleep,,awaken,NN
CAR CRASH,an instance of a car colliding with another vehicle or with an object,,car crash,NN
EARLY,happening before usual time,,early,RB
ACCUSATION,charge or claim that someone has done something illegal or wrong,,accusation,NN
IN,expressing situation of being enclosed,,in,IN
ANXIETY,feeling of worry about something with uncertain outcome,,anxiety,NN
SITUATIONS,set of circumstances in which one finds oneself,,situation,NNS
SOAP,substance used with water for washing and cleaning,,soap,NN
SEND,past and past participle of send,,send,NN
MANY,large number of,,many,JJ
P,sixteenth letter of alphabet,,p,NN
BALL,round or ovoid object used in games,,ball,NN
UNTIL,up to,,until,IN
COLOR,"the hues of things from the way they reflect light, such as red, orange, green, etc.",,color,NN
PHARMACIST,person who is professionally qualified to prepare and dispense medicinal drugs,,pharmacist,NN
ML,use of computer systems able to learn and adapt,,ml,NN
EMBARRASSED,feeling or showing embarrassment,,embarrassed,VBN
LINE UP,arrange people or things in straight row,,line up,NN
GIRLFRIEND,person's regular female companion with whom they have romantic or sexual relationship,,girlfriend,NN
SEE,experience or witness,,see,VB
KARATE,system of unarmed combat using hands and feet to deliver and block blows,I-MISC,karate,NN
FRIENDLY,kind and pleasant,,friendly,RB
AROUND,throughout area,,around,IN
AGITATED,feeling or appearing troubled or nervous,,agitated,VBN
APPROXIMATION,value or quantity that is nearly but not exactly correct,,approximation,NN
NETWORK,interact with others to exchange information,,network,NN
ALLOTMENT,the action of allotting something,,allotment,NN
CUSTOMER,person who buys goods or services from shop or business,,customer,NN
GROW,undergo natural development,,grow,NN
HORIZONTAL STRIPES,at right angles to vertical stripes,,horizontal stripes,NNS
MY,belonging to speaker,,my,PRP$
RIGHTS,morally good or acceptable,,right,NNS
PUBLISH,prepare and issue book etc. for sale,,publish,NN
BODEGA,small grocery shop,I-ORG,bodega,NN
PROCESSING,series of actions towards achieving something,,processing,NN
BACK OF THE HEAD,the back of the head,,back of the head,NN
BAR MITZVAH,initiation ceremony of Jewish boy who has reached age of 13 and is regarded as ready to observe religious precepts,,bar mitzvah,NN
LEFT,on or to left side,,left,NN
BOAT,small vessel,,boat,NN
SERVICE,action of helping or doing work for someone,,service,NN
ANTIPSYCHOTIC,(chiefly of drug) used to treat psychotic disorders,,antipsychotic,JJ
STARBUCKS,Starbucks Corporation is an American multinational chain of coffeehouses,I-ORG,starbucks,NNS
BLAINE SUNDRUD,Blaine Sundrud from AWS,,blaine sundrud,NN
GET,come to have or hold,,get,VB
TRY,make attempt or effort to do something,,try,NN
PATIENCE,capacity to accept problems without becoming annoyed or anxious,,patience,NN
STEPFATHER,man who is husband or partner of one's parent after divorce or death,,stepfather,NN
ORANGE,large citrus fruit,I-MISC,orange,NN
RUDY,Fingerspell the name Rudy,I-PER,rudy,NN
AIRPLANE,powered flying vehicle with fixed wings,,airplane,NN
BEFORE,during period of time preceding particular event,,before,IN
CALL LIGHT,an alerting device for nurses or other nursing personnel to assist a patient when in need. ,,call light,NN
COURSES,series of lectures,,course,NNS
ARREST,seize and take into custody,,arrest,NN
NEAT (COOL),efficient or skilful,,neat (cool),NN
DISHES,shallow flat-bottomed container,,dish,NNS
MAKE,bring something about,,make,VB
FOLLOW,move or travel behind,,follow,VB
INSTINCT,innate pattern of behaviour,,instinct,NN
PUT IN,interrupt in conversation or discussion,,put in,NN
COLUMNS,a vertical division of a page or text,,column,NN
YOURS,used to refer to thing or things belonging to or associated with person or people that speaker is addressing,,yours,NNS
ARMLET,band or bracelet worn around upper part of person's arm,,armlet,NN
CABIN CREW,the members of an aircraft crew who attend to passengers,,cabin crew,NN
AWS,Amazon Web Service,I-ORG,aws,NNS
CANCEL,call off,,cancel,NN
BLIMP,small airship,I-MISC,blimp,NN
HAPPY,feeling contentment,,happy,JJ
FROZEN,having turned into ice as result of extreme cold,,frozen,NNS
CULTURE,"the customs, arts, social institutions, and achievements of a particular nation, people, or other social group",,culture,NN
DEPARTMENT,division of large organization,,department,NN
YEAR,one's age or time of life,,year,NN
ACROSS,from one side to other of,,across,IN
SCOTLAND,country forming northernmost part of Great Britain,I-LOC,scotland,NN
STEPBROTHER,son of step-parent by relationship other than that with one's own father or mother,,stepbrother,NN
TAKE COVER,put something over or in front of,,take cover,NN
ACCURATE,correct in all details,,accurate,NN
PIG,domesticated hoofed mammal,,pig,NN
WORRY,feel or cause to feel anxious or troubled about actual or potential problems,,worry,NN
WHALE,"very large marine mammal with streamlined hairless body, horizontal tail fin, and blowhole on top of head for breathing",,whale,NN
TURN,move around axis or point,,turn,NN
WEST VIRGINIA,state of eastern US,I-LOC,west virginia,NN
WHY,for what reason or purpose,,why,WRB
A LONG TIME AGO,gone by in time,,a long time ago,NN
ARRIVAL,action of arriving,,arrival,NN
SUPPORT,give assistance to,,support,NN
