word,definition
NOTICE,"notification or warning of something, especially to allow preparations to be made"
EXPOSURE,state of being exposed to something harmful
PERSONAL,concerning one's private life
AND,"used to connect words of same part of speech, clauses, or sentences"
QUIZZES,test of knowledge
TIE,"piece of string, cord, or similar used for fastening or tying something"
THESE,used as object of verb or preposition to refer to two or more things
TECHNOLOGIST,expert in technology
ASSEMBLY WORKER,"a person who works in a factory on an assembly line, performing a particular job which must be finished before the product moves to the next person"
LIKELY,probable
AFFORD,have enough money
CLIENT,user of professional service
LAZY,unwilling to use energy
VEGAN,using or containing no animal products
BOULEVARD,wide street in town or city
WHAT,asking for information specifying something
CHECK MARK,tick
REQUIRMENTS,things that is needed or wanted
HELP ME,assist myself to do something
PRESSURE,continuous physical force exerted on object
VOLCANO,"mountain or hill from which lava, rock fragments, hot vapour, and gas are erupted"
CUSTOMER,person who buys goods or services from shop or business
BEARD,hair on man's face
HISTORY,past events connected with particular person or thing
CODE,computer program instructions
NAME,word by which person or thing is known
KNOW,be familiar or friendly with
MATCH,be equal to (something) in quality or strength
LEARN,gain knowledge of or skill in something
AWAY,to or at a distance
GRASS,vegetation consisting of short plants with long narrow leaves
ANIMAL,living organism
ON-PREMISES,inside a building or on the area of land that it is on
MOUSE,device for moving cursor
DRIVE,operate motor vehicle
THROUGH,moving in one side and out of other side of
SKATEBOARD,"short narrow board with two small wheels fixed to bottom of either end, on which person can ride in "
MISTAKE,wrong or misguided act or judgement
ASSUME,suppose to be the case
AUTISM,condition characterized by difficulty in communicating
SPEND,give money to pay for something
SEVEN DAYS,In poetic and literary use: a week; often as the type of a long (and arduous) period of time.
TENDENCY,inclination towards particular characteristic or type of behaviour
SHARK,long-bodied marine fish with prominent dorsal fin
ELASTIC,flexible and adaptable
AMPLE,enough or more than enough
PLAN,intention or decision
ARENA,"level area surrounded by seating, in which sports, entertainments, and other public events are held"
FAVOURITE,preferred to all others of same kind
CUBA,"Caribbean country, largest and furthest west of islands of West Indies"
WEBCAM,video camera connected to computer
SERVE,perform duties or services for
DECORATE,make something look more attractive by adding extra items or images
BLAINE SUNDRUD,Blaine Sundrud from AWS
FREDRICK,Frederick County Public School
BAD,of poor quality or low standard
CLOTHES,items worn to cover body
CRAYONS,pencil or stick of coloured chalk or wax
TOP RIGHT,"right sides highest or uppermost point, part"
PONYTAIL,hairstyle in which hair is drawn back and tied at back of head so as to hang down
BE MIND STUPID,lacking intelligence or common sense
QUOTE,repeat or copy out
FEW,small number of
ARTWORK,"illustrations, photographs, or other non-textual material prepared for inclusion in publication"
PRINCIPLE,fundamental truth or proposition
HANDS IDLE,idling hands
PUMPKIN,large orange-yellow fruit
WE,used by speaker to refer to himself or herself and one or more other people considered together
COURSE,series of lectures
COMFORTABLE,providing physical ease
PROUD,having high opinion of oneself
CAR,motor vehicle
UNNEEDED,not needed
SNAPCHAT,"a social media service that allows you to send or share photos, short videos and messages."
TRAFFIC,vehicles moving on public highway
OHIO,"a state in the north-eastern US, bordering on Lake Erie; population 11,485,910 (est. 2008); capital, Columbus. Acquired by Britain from France in 1763 and by the US in 1783, it became the 17th state of the US in 1803"
MARRY,join in marriage
BAT,mainly nocturnal mammal with membranous wings that extend between fingers and limbs
SURVEY,investigate opinions or experience of group of people by asking them questions
SUN,light or warmth received from sun
TURN,move something so that it is in different position
ARTIFICIAL,not natural
BRACELET,"ornamental band, hoop, or chain worn on wrist or arm"
BACTERIA,member of large group of unicellular microorganisms
SPREAD,extend over large or increasing area
COUNT,determine total number of
HISPANIC,"relating to Spain or to Spanish-speaking countries, especially those of Latin America"
BIRD WATCHING,observation of birds in their natural habitats as hobby
GERMANY,country in central Europe
WEEK,period of seven days
SINGLE,only one
ALOOF,not friendly or forthcoming
DON'T WANT,"not ready, eager, or prepared to do something"
JEALOUS,envious
BRIEF,of short duration
SEND,cause to go or be taken to particular destination
SELECT,carefully choose as being best or most suitable
REPRESENT,be entitled to act for someone
ARTIST,person who produces paintings or drawings
WHERE,in or to what place or position
AUTHORITARIANISM,attitude favouring strict obedience to authority
BREAKABLE,capable of breaking or being broken easily
ACTIVITIES,condition in which things happen
VARIABLE,able to be changed or adapted
SOCIAL MEDIA,websites and applications that enable users to create and share content
DEVELOPMENT,process of developing or being developed
APPLICATION,the action of putting something into operation
PROGRESS,forward or onward movement towards a destination
POSSUM,tree-dwelling Australasian marsupial
EXCITED,very enthusiastic and eager
OUTDOOR,"done, situated, or used out of doors"
LESSON,period of learning or teaching
BOWLING ALLEY,"long, narrow track along which balls are rolled in games of skittles"
AT SIGN,symbol @
SERVER,person or thing that serves
THING,"object that one need not, cannot, or does not wish to give specific name"
DANGEROUS,able or likely to cause harm or injury
ONE ONE ONE,multiple one in row
ROAD,wide way leading from one place to another
JANITOR,caretaker or doorkeeper of building
BRAND,product manufactured under particular name
MINUS,with subtraction of
ATTRACTIVE,pleasing to senses
LINUX,open-source operating system modelled on UNIX
HAPPY,feeling contentment
CLIENT SERVER,user of professional service
SKUNK,cat-sized American mammal of weasel family
BEST,most excellent or desirable
AUSTRALIA,"island country and continent of southern hemisphere, in SW Pacific"
DESTROY,end existence of
RISE,(of river) have its source
THAT,referring to specific thing previously mentioned or understood
TRANSPARENT,allowing light to pass through so that objects behind can be distinctly seen
HEAVY,of great weight
TWO THOUSAND,The cardinal number occurring after one thousand nine hundred and ninety-nine and before two thousand and one.
AND,"used to connect words of same part of speech, clauses, or sentences"
WRITE,mark symbols on surface with pen
EMPHASIS,"special importance, value, or prominence given to something"
WEIRD,induce sense of disbelief or alienation in someone
ACCUSATION,charge or claim that someone has done something illegal or wrong
NAVIGATE,sail or travel over
CHECKS,"examine for accuracy, quality, etc."
CAPACITY,maximum contents
SIX,equivalent to product of two and three
SCARE,sudden attack of fright
PORK,flesh of pig as food
STRICT,exact in correspondence or adherence to something
BAT,implement for hitting ball
ATTRIBUTES,characteristic quality or feature
BIGGEST,of great size or extent
SAD,feeling or showing sorrow
ASK US,speak to get answer or information
DOOR,barrier at entrance to building or room
COMPETITION,activity of striving to gain something by defeating others
CALENDAR,"a chart or series of pages showing the days, weeks, and months of a particular year, or giving particular seasonal information"
ALL DAY,lasting or available throughout the day.
PAUSE,interrupt action or speech briefly
FIT,match
ANIMATION,making of animated film
BRAIN FART,temporary mental lapse or failure to reason correctly
THE,denoting one or more people or things already mentioned or assumed to be common knowledge
INSTITUTE,organization with particular purpose
SWITZERLAND,"mountainous, landlocked country in central Europe"
MULTIPLY,add number to itself specified number of times
NAVIGATION,process or activity of accurately ascertaining one's position and planning and following route
CUSTOMERS,people who buys goods or services from shop or business
LIFE,state of living
HUG OBJECT,squeeze an object tightly 
BANANA,long curved fruit withd yellow skin
BARE,not clothed
BANANA,long curved fruit withd yellow skin
MAKE,force someone to do something
THEY,used to refer to two or more people or things previously mentioned or easily identified
BROWSER,computer program with graphical user interface
LARGE,"of considerable size, extent, etc."
DOCTOR,person qualified to treat sick people
NO,negative answer or decision
FREEZE,turn or be turned into ice
LIST 4,number four of items written or printed consecutively
POWERFUL,having great power or strength
TURBULENCE,violent or unsteady movement of air or water
SIDE,position to left or right of object
O,fifteenth letter of alphabet
BARBIE,doll representing conventionally attractive young woman
BEANS,edible seeds growing in pod
BULLETPROOF-VEST,vest designed to resist the penetration of bullets
JEANS,hard-wearing casual trousers made of denim
BASEBALL CARD,"A collectable picture card depicting a baseball player, often including performance statistics and biographical information."
COVID,illness caused by Covid-19
FISH,animal with gills and fins living in water
LIGHT,of little weight
HELP,assist someone to do something
DISSOLVE,become or cause to become incorporated into liquid so as to form solution
BLADE,cutting edge of knife etc.
INFORMATION,facts provided or learned
FULL,having no empty space
TURN DOOR HANDLE,open the door inside
NONE,not any
RICH,having great deal of money or assets
HAVE,"possess, own, or hold"
WARM,make or become warm
NIGHT,period from sunset to sunrise
POSITIVE,positive quality
NEIGHBOURHOOD,area of country or city
SUNGLASSES,glasses tinted to protect eyes from sunlight or glare
FEATURES,distinctive attribute or aspect
BARGE IN,intrude
STEPSISTER,daughter of one's step-parent by marriage other than with one's own father or mother
DOOR,barrier at entrance to building or room
FRONT DOOR,"the main entrance to a house, usually at the front"
CONNECTICUT,"state in north-eastern US, on coast of Atlantic Ocean"
TREE FALL,"The act of a tree falling, or the extent to which this occurs in a given region"
APPLICATION,"a formal request to be considered for a position or to be allowed to do or have something, submitted to an authority, institution, or organization"
PATH,way or track for walking
ANTAGONIST,person who actively opposes or is hostile to person or thing
BEREFT,deprived of or lacking
BOOM,"loud, deep sound"
ADVERSITY,difficult or unpleasant situation
AROUND,to face in opposite direction
WILL,expressing future tense
BARBER,person who cuts men's hair and shaves or trims beards as occupation
TOGETHER,with or in proximity to another person or people
AIRPODS,"AirPods are wireless Bluetooth earbuds designed by Apple Inc. They were first announced on September 7, 2016, alongside the iPhone 7."
FINAL,coming at end of series
SURVEY,look closely at or examine
DAD,one's father
HI,used as a friendly greeting or to attract attention
FRIDGE,refrigerator
PAPER,material for writing or wrapping
HELP,assist someone to do something
HOLLOW,having hole or empty space inside
COST,amount paid
MATH,mathematics
BITE YOUR TONGUE,not making or accompanied by any sound
NAVIGATION,process or activity of accurately ascertaining one's position and planning and following route
LOVE,feel love for
MEMBER,"person, animal, etc. belonging to group"
THREATEN,state one's intention to take hostile action against someone in retribution for something
VACUUM,vacuum cleaner
SUCCESS,accomplishment of aim or purpose
ORANGE,bright reddish-yellow colour
GUESS,estimate without being sure of being correct
SUPPLIES,stock or amount of something supplied or available for use
FACE,front part of head
ARRAY,impressive display or range
BASKET,container made from interwoven strips
UNDER,extending or directly below
SUPPORT,give assistance to
BERRY,small stoneless round fruit
COUGH IN ELBOW,expel air from lungs
APPETITE,natural desire to satisfy bodily need
BURY,put or hide underground
LOCATION,place or position
OWNER,person who owns something
SECOND,constituting number two in sequence
A MOMENT AGO,at recent time
BUSINESSES,commercial activity
FURNITURE,articles in room or building such as tables and chairs
APPEARANCE,way person or thing looks
SCORE,"number of points, goals, runs, etc. achieved in game or by team"
TOOLS,device or implement used to carry out particular function
WEB,a complex system of interconnected elements
NONE,not any
AT ONCE,immediately
FAKE,forgery or sham
SITUATION,set of circumstances in which one finds oneself
DINNER,main meal of day
VIDEO,"the recording, reproducing, or broadcasting of moving visual images"
HOUSTON,"inland port of Texas, linked to Gulf of Mexico by Houston Ship Canal"
TRUE,accurate or exact
MAKE,form something
WHAT,to what extent ?
VIDEOS,"system of recording, reproducing, or broadcasting moving visual images"
AWS,"Amazon Web Services (AWS) is the world's most comprehensive and broadly adopted cloud, offering over 200 fully featured services from data centers globally"
DOWNSTAIRS,down flight of stairs
EXCITING,causing great enthusiasm and eagerness
CLOUD,mass of condensed watery vapour
VLOG,personal website where person regularly posts short videos
MOTIVATED,provide someone with reason for doing something
ASKED,speak to get answer or information
MOTHER'S DAY,a day on which mothers traditionally receive cards and gifts from their children
INFORM,give someone facts or information
DRINK,swallow liquid
Z,twenty-sixth letter of alphabet
BUBBLE,a thin sphere of liquid enclosing air or another gas
TEETH,"each of set of hard, bony enamel-coated structures in jaws of most vertebrates"
TRUE,in accordance with fact or reality
AUNT,sister of one's father or mother or wife of one's uncle
WEEKEND,Saturday and Sunday
YEARS,time taken by earth to make one revolution around sun
CHEF,professional cook
PLUMBER,"person who fits and repairs pipes, fittings, and other apparatus of water supply"
IDEA,suggestion of possible course of action
BLUE,blue colour
OFFICER,person holding position of authority in armed services etc.
GO,move from one place to another
CODE,"system of words, figures, etc. used to represent others"
JUST,morally right and fair
THOSE,plural form of that
SOUTH CAROLINA,state of US on Atlantic coast
VIRGINIA,"state of eastern US, on Atlantic coast"
TRUE,in accordance with fact or reality
YOURSELF,used to refer to person being addressed
ART MUSEUM,A museum devoted to the exhibition of works of art.
SEARCH,try to find something by looking or otherwise seeking carefully
LEFT,left-hand part or direction
STOMACH,internal organ in which major part of digestion of food occurs
FEEL,be aware of through touching
CHOW,food
APPEAR,become visible or noticeable
SECOND,constituting number two in sequence
EXAMINE,inspect person or thing thoroughly
ASKING PRICE,price at which something is offered for sale
COURSE,series of lectures
BROAD,wide
PAPER,paper with writing on
NEW YEARS DAY,"New Year is the time or day at which a new calendar year begins, period of twenty-four hours"
MAKE SURE,establish that something is definitely
CONVEYOR BELT,"continuous moving band of fabric, rubber"
INSTEAD,as alternative or substitute
SUBSCRIBE,arrange to receive something regularly by paying in advance
MUSEUM,"building in which objects of historical, scientific, artistic, or cultural interest are stored and e"
BEFORE,during period of time preceding particular event
QUESTIONS,sentences worded or expressed so as to elicit information
INTRODUCE,make someone known by name to another person
BROTHERS AND SISTERS,each of two or more children or offspring having one or both parents in common; a brother or sister
MENTAL,relating to mind
CHECK MARK,tick
ACHIEVE,successfully bring about or reach desired objective or result
LOCKDOWN,state of isolation or restricted access instituted as security measure
BEG,ask someone for something
SENIOR,high or higher in rank or status
ARCHITECTURE,art of designing buildings
BIRD WATCHING,observation of birds in their natural habitats as hobby
BOTH OF US," we two, two of; both of us. This particularly refers to ""you and I"" or ""you and me"". "
NOW,at present time
US,used by speaker to refer to himself or herself
COVER MOUTH,put something over or in front of mouth
PROHIBITED,that has been forbidden; banned
MESSY,untidy or dirty
HOURS,twenty-fourth part of day
START,begin or be reckoned from particular point in time or space
BRAID,form hair into braid
BOLT,"(of a horse or other animal) run away suddenly, typically from fear"
DURING,throughout course or duration of
BEAT,strike person repeatedly
INDIANA,state in Middle West of US
ADDITION,adding something to something
AUTUMN,season after summer and before winter
BANGS,a fringe of hair cut straight across the forehead.
STOP,"cause action, process, or event to come to end"
CORNER,place or angle where two sides or edges meet
LONG LIST,number of items written or printed consecutively
BUZZ,low continuous humming
OPPOSITE,completely different
ALL DAY NIGHT,All day and night
ANNOUNCE,make formal public statement about fact or intention
ADJUST,alter/move
T,twentieth letter of alphabet
NEW ZEALAND,"island country in South Pacific about 1,900 km 1,200 miles east of Australia"
ASPHYXIATE,kill someone by depriving them of air
SCREEN,panel or area on electronic device on which images and data are displayed
TAKE OUT,to remove something from somewhere:
DIVORCE,legal dissolution of marriage
EARTH DAY,Earth Day is an annual celebration that honors the achievements of the environmental movement and raises awareness of the need to protect Earths natural resources for future generations.
PLUS SIGN,"the symbol +, indicating addition or a positive value"
DEPLOYMENT,action of bringing resources into effective action
CONTINUE,persist in activity
WEDDING,marriage ceremony
BLACKED OUT,"to undergo a temporary loss of vision, consciousness, or memory"
LOAN YOU,lend another person something
PRICING,decide price of
ASSASSINATE,murder important person for political or religious reasons
LOVE,feel love for
ALASKA,"largest state of US, in extreme north-west of North America"
HAPPY,feeling contentment
TIE,strip of material worn round collar and tied in knot at front with ends hanging down
THEY,used to refer to two or more people or things previously mentioned or easily identified
OFF,away from place in question
TEEN,years of person's age from 13 to 19
SUPPORTING,bearing weight of something
FLOWER,part of plant consisting of reproductive organs
TRY,make attempt or effort to do something
SPECIALIZED,requiring or involving detailed and specific knowledge or training
OR,linking alternatives
BOIL WITH ANGER,boil with something. collocation. to have a very strong feeling of anger: He was boiling with rage. I began to boil with helpless fury.
SKINNY,unattractively thin
DISCONNECT,break connection of or between
NATURE,all physical world
BUCKET,"a roughly cylindrical open container, typically made of metal or plastic, with a handle, used to hold and carry liquids or other material"
EXAMPLE,thing characteristic of its kind
YOU ALL,used to refer to person or people that speaker is addressing
EAT NIGHT,put food into the mouth at night
NEIGHBOR,a person who lives next to you or near you
MODULE,standardized part used in construction of structure
EYE,organ of sight in humans and animals
COMMUNICATION,imparting or exchanging of information
SUPPOSE,think or assume that something is true or probable but lack proof
WEB,global computer network providing information and communication facilities
CLICK,press mouse button
MEMES,create internet meme from
MORE THAN,extremely
ARITHMETIC,branch of mathematics
BROADWAY,"a street traversing the length of Manhattan, New York. It is famous for its theatres, and its name has become synonymous with show business"
BICYCLE,"vehicle consisting of two wheels held in frame one behind other, propelled by pedals"
HURRICANE,storm with violent wind
BEACH,seashore
ISLAND,piece of land surrounded by water
AWAKEN,rouse from sleep
CAR CRASH,an instance of a car colliding with another vehicle or with an object
EARLY,happening before usual time
ACCUSATION,charge or claim that someone has done something illegal or wrong
IN,expressing situation of being enclosed
ANXIETY,feeling of worry about something with uncertain outcome
SITUATIONS,set of circumstances in which one finds oneself
SOAP,substance used with water for washing and cleaning
SEND,past and past participle of send
MANY,large number of
P,sixteenth letter of alphabet
BALL,round or ovoid object used in games
UNTIL,up to
COLOR,"the hues of things from the way they reflect light, such as red, orange, green, etc."
PHARMACIST,person who is professionally qualified to prepare and dispense medicinal drugs
ML,use of computer systems able to learn and adapt
EMBARRASSED,feeling or showing embarrassment
LINE UP,arrange people or things in straight row
GIRLFRIEND,person's regular female companion with whom they have romantic or sexual relationship
SEE,experience or witness
KARATE,system of unarmed combat using hands and feet to deliver and block blows
FRIENDLY,kind and pleasant
AROUND,throughout area
AGITATED,feeling or appearing troubled or nervous
APPROXIMATION,value or quantity that is nearly but not exactly correct
NETWORK,interact with others to exchange information
ALLOTMENT,the action of allotting something
CUSTOMER,person who buys goods or services from shop or business
GROW,undergo natural development
HORIZONTAL STRIPES,at right angles to vertical stripes
MY,belonging to speaker
RIGHTS,morally good or acceptable
PUBLISH,prepare and issue book etc. for sale
BODEGA,small grocery shop
PROCESSING,series of actions towards achieving something
BACK OF THE HEAD,the back of the head
BAR MITZVAH,initiation ceremony of Jewish boy who has reached age of 13 and is regarded as ready to observe religious precepts
LEFT,on or to left side
BOAT,small vessel
SERVICE,action of helping or doing work for someone
ANTIPSYCHOTIC,(chiefly of drug) used to treat psychotic disorders
STARBUCKS,Starbucks Corporation is an American multinational chain of coffeehouses
BLAINE SUNDRUD,Blaine Sundrud from AWS
GET,come to have or hold
TRY,make attempt or effort to do something
PATIENCE,capacity to accept problems without becoming annoyed or anxious
STEPFATHER,man who is husband or partner of one's parent after divorce or death
ORANGE,large citrus fruit
RUDY,Fingerspell the name Rudy
AIRPLANE,powered flying vehicle with fixed wings
BEFORE,during period of time preceding particular event
CALL LIGHT,an alerting device for nurses or other nursing personnel to assist a patient when in need. 
COURSES,series of lectures
ARREST,seize and take into custody
NEAT (COOL),efficient or skilful
DISHES,shallow flat-bottomed container
MAKE,bring something about
FOLLOW,move or travel behind
INSTINCT,innate pattern of behaviour
PUT IN,interrupt in conversation or discussion
COLUMNS,a vertical division of a page or text
YOURS,used to refer to thing or things belonging to or associated with person or people that speaker is addressing
ARMLET,band or bracelet worn around upper part of person's arm
CABIN CREW,the members of an aircraft crew who attend to passengers
AWS,Amazon Web Service
CANCEL,call off
BLIMP,small airship
HAPPY,feeling contentment
FROZEN,having turned into ice as result of extreme cold
CULTURE,"the customs, arts, social institutions, and achievements of a particular nation, people, or other social group"
DEPARTMENT,division of large organization
YEAR,one's age or time of life
ACROSS,from one side to other of
SCOTLAND,country forming northernmost part of Great Britain
STEPBROTHER,son of step-parent by relationship other than that with one's own father or mother
TAKE COVER,put something over or in front of
ACCURATE,correct in all details
PIG,domesticated hoofed mammal
WORRY,feel or cause to feel anxious or troubled about actual or potential problems
WHALE,"very large marine mammal with streamlined hairless body, horizontal tail fin, and blowhole on top of head for breathing"
TURN,move around axis or point
WEST VIRGINIA,state of eastern US
WHY,for what reason or purpose
A LONG TIME AGO,gone by in time
ARRIVAL,action of arriving
SUPPORT,give assistance to
WEDNESDAY,day of week before Thursday and following Tuesday
MAY,"fifth month of year, in northern hemisphere"
BREACH,break through wall or barrier
CERTIFIED,officially recognized as possessing certain qualifications
SILVER,precious shiny greyish-white metal
ACROSS,from one side to other of
CALL,contact or attempt to contact (a person or number) by phone
ADEQUATE,satisfactory or acceptable in quality or quantity
TRUE,in accordance with fact or reality
COURSES,series of lectures
HAPPEN,take place
ARAB,"member of Semitic people, originally from Arabian peninsula and neighbouring territories"
STROKE,sudden disabling attack or loss of consciousness caused by interruption in flow of blood to brain
HE,man or boy previously mentioned or easily identified
ADVANCED,far on or ahead in development or progress
EVALUATE,"form idea of amount, number, or value of"
AIRS,an affectation of superiority from attention
ARTICLE,piece of writing
POSITIVE,greater than zero
ACCESSIBLE,able to be entered
BIRTH,give birth to baby etc.
ABHOR,regard with disgust and hatred
COMMON,occurring or done often
FIRST,foremost in position or importance
BLACK,of darkest colour
HIDE,put or keep out of sight
AMATEURISH,done in unskilful or inept way
PREVIOUS,existing or occurring before in time or order
ACTIONS,processes of doing something
KIND,group of people or things having similar characteristics
DARK,with little or no light
USA,United States of America
CLAM,marine bivalve mollusc with shells of equal size
CALM DOWN,"to become less excited, intense or angry"
TERRITORY,"(especially in the US, Canada, or Australia) an organized division of a country that is not yet admitted to the full rights of a state"
COME,move towards speaker
EMPIRE,"an extensive group of states or countries ruled over by a single monarch, an oligarchy, or a sovereign state"
ADMINISTRATOR,person responsible for carrying out administration of business or organization
SMALL,of size that is less than normal or usual
X,twenty-fourth letter of alphabet
SCISSORS,"instrument used for cutting material, consisting of two blades laid one on top of other"
ADULT,fully developed person
COMPETITION,activity of striving to gain something by defeating others
SNEEZING,act or sound of expelling air from nose in such way
DIFFERENT,"not the same as another or each other; unlike in nature, form, or quality"
DIFFERENT,not same as another or each other
ACCOUNTANT,person whose job is to keep or inspect financial accounts
BAR,"counter in public house, restaurant, or cafe"
DOWNTOWN,in or relating to central part or main business and commercial area of town or city
GLOBAL,relating to whole world
WRITE,compose text or work for written or printed reproduction or publication
APPETIZING,stimulating one's appetite
NAVIGATION MENU,a list of links to other pages on a website
ALLEVIATE,"make suffering, deficiency, or problem less severe"
CAPE TOWN,legislative capital of South Africa and administrative capital of province of Western Cape
BITING,so cold as to be painful
CALIFORNIA,"state of US, on Pacific coast"
TRADE,exchange something for something else
GLASS,drinking container
AFFLUENT,having great deal of money
EVERY,used before singular noun to refer to all individual members of set without exception
N,fourteenth letter of alphabet
GO INSIDE,to enter a room or building
BARING,uncover (a part of the body or other thing) and expose it to view.
ALL SET,everything is ready or finished
SOCIETY,organization or club formed for particular purpose or activity
5 HAND,five hand classifier
OPPOSITE,completely different
LOVE,strong feeling of affection
ARMOR,metal covering worn in battle
ROUTINE,sequence of actions regularly followed
BALLOON,small inflated rubber bag
FRIDGE,refrigerator
SHOW UP,arrive or turn up for appointment or gathering
INTELLIGENCE,ability to acquire and apply knowledge
AWS,"Amazon Web Services, Inc. is a subsidiary of Amazon that provides on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered, pay-as-you-go basis"
BAKED CHICKEN,a chicken baked in the oven
PARENT,father or mother
FEEL,experience emotion or sensation
LEAVE,go away from
MAKE,form something
AND,"used to connect words of same part of speech, clauses, or sentences"
BEWILDERING,cause to become perplexed and confused
ACCOMPLISHMENT,thing achieved
FOREST,large area covered with trees
SELF,person's essential being that distinguishes them from others
SNAP,"sudden, sharp cracking sound or movement"
BUSTED-LIP,"harmed, damaged, or impaired lip"
ROUND,shaped like circle or cylinder
VIRTUAL,not physically existing as such but made by software
LEAN,be in sloping position
AKIN,of similar character
SELL,act of selling or attempting to sell something
LINES,a bunch of long mark or band
LESSON,period of learning or teaching
BUCK,a dollar
LESSEN,make or become less
CLICK,select (an option on an electronic interface) by pressing a button or touching a screen
X-RAY,photographic or digital image of internal composition of something produced by X-rays being passed through it
FATHER-IN-LAW,father of one's husband or wife
SANDAL,light shoe with either openwork upper or straps attaching sole to foot
WITH,accompanied by
POSITIVE,constructive or confident
COMPROMISE,settle a dispute by mutual concession
RIGHTS,moral or legal entitlement to have or do something
BEWARE,be cautious and alert to risks or dangers
ROLE,"actor's part in play, film"
BUFFALO,heavily built wild ox
UNDERSTANDING,ability to understand something
WHO,what or which person or people
AUTONOMOUS,(of country or region) having freedom to govern itself
ASTRONAUT,person who is trained to travel in spacecraft
AFFECT,have an effect on; make a difference to
NEBRASKA,state in central US to west of Missouri River
ANY,referring to one or some of thing or things
BOUNDLESS,unlimited or immense
ANNOUNCER,person who announces something
CLICK,press mouse button
GLOBALLY,in way that relates to whole world
WILL,expressing request
LIBERTY,"the state of being free within society from oppressive restrictions imposed by authority on one's way of life, behaviour, or political views"
ARCHITECT,person who designs buildings and in many cases also supervises their construction
BUILD,construct by putting things together
COMPONENTS,parts or element of larger whole
DEMAND,insistent request
THINGS,"objects that one need not, cannot, or does not wish to give specific name"
WE,used by speaker to refer to himself or herself and one or more other people considered together
AIRCRAFT CABIN,the section of an aircraft in which passengers travel
ACCESSORIES,additional items
YOU HEARING OR DEAF,Asking if a person is hearing or Deaf
CLOUD,mass of condensed watery vapour
EARTH,our planet
LOOK BACK,think of past
DATA SET,collection of related sets of information that is composed of separate elements but can be manipulated as unit by computer
BIG,of great size or extent
PLUS,with addition of
ADVANCE,make progress
SUBTRACTION,process or skill of taking one number or amount away from another
AXE,tool for chopping wood
HOT,having high temperature
PARAGRAPH,"a distinct section of a piece of writing, usually dealing with a single theme and indicated by a new line, indentation, or numbering"
OF,expressing relationship between part and whole
LENIENT,more merciful or tolerant than expected
HEALTH,state of being free from illness or injury
RAMADAN,ninth month of Muslim year
PAY AS YOU GO,"give money for work, goods, etc."
BACKUP,"to move backwards, or start over in conversation"
HARD WORKING,(of a person) tending to work with energy and commitment; diligent
ARCHIVES,collection of documents
1820,The year 1820
MARYLAND,"state of eastern US, on Atlantic coast"
NEXT,coming after in time
FUNDAMENTAL,central rule or principle
MISSOURI,"a major river of North America, one of the main tributaries of the Mississippi River. It rises in the Rocky Mountains in Montana and flows 3,736 km (2,315 miles) to meet the Mississippi just north of St Louis"
PARTNER,member of couple
ABRUPTLY,suddenly and unexpectedly
AUDACITY,willingness to take bold risks
AMERICAN,a native or citizen of the United States
BECOME,begin to be
AGREE,consent to
ARGUE,"give reasons or cite evidence in support of idea, action, or theory"
HUSBAND,married man considered in relation to his spouse
AMAZING,causing great surprise or wonder
BOUGHT,obtain in exchange for payment
CARPENTER,person who makes and repairs wooden objects and structures
BLIZZARD,severe snowstorm with high winds
SAD,feeling or showing sorrow
WILL,expressing future tense
WE,used by speaker to refer to himself or herself and one or more other people considered together
ITALY,country in southern Europe
AVAILABLE,able to be used or obtained
REPETITIVE,containing repetition
HAVE,"possess, own, or hold"
TIME,indefinite continued progress of existence
PIZZA,"dish of Italian origin, consisting of flat round base of dough baked with topping of tomatoes and cheese"
WARM,of or at fairly or comfortably high temperature
BLACK,of darkest colour
AGAIN,once more
VIDEOS,"system of recording, reproducing, or broadcasting moving visual images"
ROW,a number of people or things in a more or less straight line
OKLAHOMA,state in south central US
PREFER,like one thing or person better than another or others
ADS,advertisements
RELEASE,allow or enable to escape from confinement
TEMPERATURE,degree or intensity of heat present in substance or object
POLITICAL,relating to the government or the public affairs of a country
LAWYER,person who practises law
COOL,of low temperature
FORECAST,predict or estimate
FAST,at high speed
VERMONT,"state in north-eastern US, on border with Canada"
RIDERS,"people who are riding or who can ride a horse, bicycle, motorcycle, etc"
COOKING,process of preparing food by combining and heating ingredients
WANT,have a desire for something
SHE,"used to refer to woman, girl, or female animal"
MOVIE THEATER,a building in which films are shown
CLOUD BASED,dependant on cloud servers
LAWS,system of rules in country or community
CANDY,confectionery
ACCEPT,consent to receive or undertake (something offered)
NOW,at present time
BREAD,baked food made from flour
MOVE AWAY,change position
FIT,be right shape and size for
INTRODUCTION,bringing of something into use for first time
DEMOCRATIC,relating to or supporting democracy or its principles
Y,twenty-fifth letter of alphabet
AFTER,in time following
OFTEN,frequently
NOSY,showing too much curiosity about other people's affairs
ASL,American Sign Language
WEAR VEST,have a vest on one's body as clothing or protection
DISAPPEAR,cease to be visible
THIRST,feel need to drink something
AMOUNT,quantity
FRIDAY,day of week before Saturday and following Thursday
APTITUDE,natural ability to do something
EAR,organ of hearing and balance in humans and other vertebrates
APPEAR,become visible or noticeable
VARIABLE,not consistent or having fixed pattern
PERSONAL,belonging to or affecting particular person
HELP US,action of helping two or more people
FEEL,be aware of through touching
DECEMBER,"twelfth month of year, in northern hemisphere"
